epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4960317313671112,0.5087553262710571,9.999999747378752e-06,0.7867858409881592,0.4965517222881317,0.5714285969734192,0.4444444477558136,0.5,0.7288432121276855,0.0,0.0
1,0.5158730149269104,0.5111489295959473,9.999999747378752e-06,0.814996063709259,0.5144927501678467,0.5634920597076416,0.4444444477558136,0.5,0.7274492979049683,0.0,0.0
2,0.523809552192688,0.5212900042533875,9.999999747378752e-06,0.7700082659721375,0.524193525314331,0.5158730149269104,0.4444444477558136,0.5249999761581421,0.727003812789917,0.0,0.0
3,0.567460298538208,0.5976001620292664,9.999999747378752e-06,0.729714572429657,0.5669291615486145,0.5714285969734192,0.4444444477558136,0.44999998807907104,0.7270651459693909,0.0,0.0
4,0.4285714328289032,0.42126479744911194,9.999999747378752e-06,0.8405413627624512,0.4296875,0.4365079402923584,0.3333333432674408,0.44999998807907104,0.7259306311607361,0.4285714328289032,0.6000000238418579
5,0.5039682388305664,0.4992756247520447,9.999999747378752e-06,0.7745786309242249,0.5044247508049011,0.4523809552192688,0.5555555820465088,0.44999998807907104,0.7248508930206299,0.5555555820465088,1.0
6,0.5357142686843872,0.5137313604354858,9.999999747378752e-06,0.8117156624794006,0.5371900796890259,0.5158730149269104,0.5555555820465088,0.42500001192092896,0.7237049341201782,0.5555555820465088,1.0
7,0.5039682388305664,0.5085034370422363,9.999999747378752e-06,0.7840451002120972,0.5040000081062317,0.5,0.5555555820465088,0.4000000059604645,0.722510814666748,0.5555555820465088,1.0
8,0.5158730149269104,0.5307067632675171,9.999999747378752e-06,0.7719125747680664,0.5153846144676208,0.5317460298538208,0.5555555820465088,0.30000001192092896,0.7220065593719482,0.5555555820465088,1.0
9,0.5039682388305664,0.5157470107078552,9.999999747378752e-06,0.7806040644645691,0.5040650367736816,0.4920634925365448,0.5555555820465088,0.44999998807907104,0.721601128578186,0.5555555820465088,1.0
10,0.5396825671195984,0.5365645885467529,9.999999747378752e-06,0.780139148235321,0.5396825671195984,0.5396825671195984,0.5555555820465088,0.30000001192092896,0.7214470505714417,0.5555555820465088,1.0
11,0.4960317313671112,0.5053539872169495,9.999999747378752e-06,0.7907026410102844,0.49618321657180786,0.5158730149269104,0.5555555820465088,0.5,0.7213382124900818,0.5555555820465088,1.0
12,0.5833333134651184,0.6038989424705505,9.999999747378752e-06,0.7169655561447144,0.5813953280448914,0.5952380895614624,0.5555555820465088,0.5,0.7213124632835388,0.5555555820465088,1.0
13,0.511904776096344,0.49048882722854614,9.999999747378752e-06,0.8015134334564209,0.5120000243186951,0.5079365372657776,0.5555555820465088,0.5,0.7212557792663574,0.5555555820465088,1.0
14,0.4682539701461792,0.4730410575866699,9.999999747378752e-06,0.8130655884742737,0.4677419364452362,0.460317462682724,0.5555555820465088,0.4000000059604645,0.7205836176872253,0.5555555820465088,1.0
