archivo,ruta,clase,label,clave_agrupacion,rID,prob
chiari_1a.jpeg,data/vf/val_externo/cropped/chiari/chiari_1a.jpeg,chiari,1,56514,56514,0.974312
chiari_1b.jpeg,data/vf/cropped/chiari/chiari_1b.jpeg,chiari,1,56514,56514,0.656696
chiari_3a.jpg,data/vf/val_externo/cropped/chiari/chiari_3a.jpg,chiari,1,71310,71310,0.999975
chiari_3b.jpg,data/vf/val_externo/cropped/chiari/chiari_3b.jpg,chiari,1,71310,71310,0.999806
chiari_3c.jpg,data/vf/val_externo/cropped/chiari/chiari_3c.jpg,chiari,1,71310,71310,0.893758
chiari_4a.jpeg,data/vf/cropped/chiari/chiari_4a.jpeg,chiari,1,75171,75171,0.808533
chiari_4b.jpg,data/vf/val_externo/cropped/chiari/chiari_4b.jpg,chiari,1,75171,75171,0.647079
chiari_6a.jpg,data/vf/val_externo/cropped/chiari/chiari_6a.jpg,chiari,1,88168,88168,0.375729
chiari_6b.jpg,data/vf/cropped/chiari/chiari_6b.jpg,chiari,1,88168,88168,0.990501
chiari_7a.jpg,data/vf/cropped/chiari/chiari_7a.jpg,chiari,1,91327,91327,0.883162
chiari_8a.png,data/vf/cropped/chiari/chiari_8a.png,chiari,1,16632,16632,0.996673
chiari_8b.png,data/vf/val_externo/cropped/chiari/chiari_8b.png,chiari,1,16632,16632,0.999839
chiari_9a.jpeg,data/vf/val_externo/cropped/chiari/chiari_9a.jpeg,chiari,1,198037,198037,0.054794
chiari_11a.jpeg,data/vf/val_externo/cropped/chiari/chiari_11a.jpeg,chiari,1,3609,3609,0.972088
chiari_12a.jpeg,data/vf/val_externo/cropped/chiari/chiari_12a.jpeg,chiari,1,21023,21023,0.962515
chiari_13a.jpg,data/vf/cropped/chiari/chiari_13a.jpg,chiari,1,29929,29929,0.998787
chiari_13b.jpg,data/vf/cropped/chiari/chiari_13b.jpg,chiari,1,29929,29929,0.075137
chiari_14a.png,data/vf/val_externo/cropped/chiari/chiari_14a.png,chiari,1,40391,40391,0.405452
chiari_16a.png,data/vf/val_externo/cropped/chiari/chiari_16a.png,chiari,1,56863,56863,0.975698
chiari_16b.png,data/vf/val_externo/cropped/chiari/chiari_16b.png,chiari,1,56863,56863,0.994669
chiari_17a.jpeg,data/vf/val_externo/cropped/chiari/chiari_17a.jpeg,chiari,1,69649,69649,0.600314
chiari_20a.jpg,data/vf/cropped/chiari/chiari_20a.jpg,chiari,1,68345,68345,0.6187
chiari_20b.jpeg,data/vf/val_externo/cropped/chiari/chiari_20b.jpeg,chiari,1,68345,68345,0.999974
chiari_22a.jpeg,data/vf/val_externo/cropped/chiari/chiari_22a.jpeg,chiari,1,87101,87101,0.994006
chiari_23a.jpeg,data/vf/val_externo/cropped/chiari/chiari_23a.jpeg,chiari,1,154611,154611,0.9909
chiari_23b.jpeg,data/vf/val_externo/cropped/chiari/chiari_23b.jpeg,chiari,1,154611,154611,0.998776
chiari_23c.jpeg,data/vf/val_externo/cropped/chiari/chiari_23c.jpeg,chiari,1,154611,154611,0.944194
chiari_25a.jpg,data/vf/val_externo/cropped/chiari/chiari_25a.jpg,chiari,1,180362,180362,0.603976
chiari_25b.jpg,data/vf/cropped/chiari/chiari_25b.jpg,chiari,1,180362,180362,0.999348
chiari_25b.jpg,data/vf/val_externo/cropped/chiari/chiari_25b.jpg,chiari,1,180362,180362,0.99911
chiari_25c.jpg,data/vf/val_externo/cropped/chiari/chiari_25c.jpg,chiari,1,180362,180362,0.999844
chiari_26a.jpg,data/vf/cropped/chiari/chiari_26a.jpg,chiari,1,184186,184186,0.990233
chiari_26b.jpg,data/vf/cropped/chiari/chiari_26b.jpg,chiari,1,184186,184186,0.999986
chiari_27a.jpg,data/vf/cropped/chiari/chiari_27a.jpg,chiari,1,94769,94769,0.324137
chiari_27b.jpg,data/vf/val_externo/cropped/chiari/chiari_27b.jpg,chiari,1,94769,94769,0.605451
chiari_27c.jpg,data/vf/cropped/chiari/chiari_27c.jpg,chiari,1,94769,94769,0.848543
chiari_28a.png,data/vf/val_externo/cropped/chiari/chiari_28a.png,chiari,1,199635,199635,0.238004
chiari_30a.jpeg,data/vf/val_externo/cropped/chiari/chiari_30a.jpeg,chiari,1,225772,225772,1.0
chiari_30b.jpeg,data/vf/val_externo/cropped/chiari/chiari_30b.jpeg,chiari,1,225772,225772,0.999993
chiari_30c.jpg,data/vf/val_externo/cropped/chiari/chiari_30c.jpg,chiari,1,225772,225772,1.0
chiari_31a.jpeg,data/vf/val_externo/cropped/chiari/chiari_31a.jpeg,chiari,1,151115,151115,0.046245
chiari_31b.jpeg,data/vf/val_externo/cropped/chiari/chiari_31b.jpeg,chiari,1,151115,151115,0.998412
chiari_32a.jpg,data/vf/val_externo/cropped/chiari/chiari_32a.jpg,chiari,1,157827,157827,0.965146
chiari_32b.jpg,data/vf/val_externo/cropped/chiari/chiari_32b.jpg,chiari,1,157827,157827,0.97219
chiari_33a.jpeg,data/vf/val_externo/cropped/chiari/chiari_33a.jpeg,chiari,1,185374,185374,0.976887
chiari_33b.jpeg,data/vf/val_externo/cropped/chiari/chiari_33b.jpeg,chiari,1,185374,185374,0.993927
chiari_34a.jpg,data/vf/val_externo/cropped/chiari/chiari_34a.jpg,chiari,1,218107,218107,0.949545
chiari_34b.jpg,data/vf/val_externo/cropped/chiari/chiari_34b.jpg,chiari,1,218107,218107,0.997719
chiari_35a.jpg,data/vf/val_externo/cropped/chiari/chiari_35a.jpg,chiari,1,84171,84171,0.995095
chiari_35b.jpg,data/vf/val_externo/cropped/chiari/chiari_35b.jpg,chiari,1,84171,84171,0.685438
chiari_36a.jpeg,data/vf/val_externo/cropped/chiari/chiari_36a.jpeg,chiari,1,72352,72352,0.9803
chiari_37a.jpg,data/vf/val_externo/cropped/chiari/chiari_37a.jpg,chiari,1,229718,229718,0.997949
chiari_37b.jpg,data/vf/val_externo/cropped/chiari/chiari_37b.jpg,chiari,1,229718,229718,0.894717
chiari_37c.jpg,data/vf/val_externo/cropped/chiari/chiari_37c.jpg,chiari,1,229718,229718,0.99086
chiari_37d.jpeg,data/vf/cropped/chiari/chiari_37d.jpeg,chiari,1,229718,229718,0.753691
chiari_38a.png,data/vf/val_externo/cropped/chiari/chiari_38a.png,chiari,1,16995,16995,0.992634
chiari_39a.jpg,data/vf/val_externo/cropped/chiari/chiari_39a.jpg,chiari,1,154142,154142,0.917249
chiari_39b.jpg,data/vf/val_externo/cropped/chiari/chiari_39b.jpg,chiari,1,154142,154142,0.974551
chiari_40a.jpg,data/vf/val_externo/cropped/chiari/chiari_40a.jpg,chiari,1,153463,153463,0.257071
chiari_41a.jpg,data/vf/val_externo/cropped/chiari/chiari_41a.jpg,chiari,1,99353,99353,0.204134
chiari_42a.jpg,data/vf/val_externo/cropped/chiari/chiari_42a.jpg,chiari,1,94082,94082,0.359823
chiari_42b.jpg,data/vf/cropped/chiari/chiari_42b.jpg,chiari,1,94082,94082,0.557927
chiari_43a.jpeg,data/vf/val_externo/cropped/chiari/chiari_43a.jpeg,chiari,1,89442,89442,0.999179
chiari_43b.jpeg,data/vf/val_externo/cropped/chiari/chiari_43b.jpeg,chiari,1,89442,89442,0.9995
chiari_44a.jpg,data/vf/val_externo/cropped/chiari/chiari_44a.jpg,chiari,1,173129,173129,0.851618
chiari_45a.jpeg,data/vf/val_externo/cropped/chiari/chiari_45a.jpeg,chiari,1,176123,176123,0.95066
chiari_46a.jpg,data/vf/cropped/chiari/chiari_46a.jpg,chiari,1,178758,178758,0.148401
chiari_47a.jpeg,data/vf/val_externo/cropped/chiari/chiari_47a.jpeg,chiari,1,191155,191155,0.014463
chiari_47b.jpeg,data/vf/cropped/chiari/chiari_47b.jpeg,chiari,1,191155,191155,0.968508
chiari_48a.jpeg,data/vf/val_externo/cropped/chiari/chiari_48a.jpeg,chiari,1,4364,4364,0.700957
chiari_48b.jpeg,data/vf/val_externo/cropped/chiari/chiari_48b.jpeg,chiari,1,4364,4364,0.85649
chiari_49a.jpg,data/vf/val_externo/cropped/chiari/chiari_49a.jpg,chiari,1,12712,12712,0.999975
chiari_51a.png,data/vf/val_externo/cropped/chiari/chiari_51a.png,chiari,1,183264,183264,0.995431
chiari_51b.png,data/vf/val_externo/cropped/chiari/chiari_51b.png,chiari,1,183264,183264,0.999946
chiari_52a.jpg,data/vf/val_externo/cropped/chiari/chiari_52a.jpg,chiari,1,88459,88459,0.995008
chiari_52b.jpeg,data/vf/cropped/chiari/chiari_52b.jpeg,chiari,1,88459,88459,0.57486
chiari_54a.jpg,data/vf/val_externo/cropped/chiari/chiari_54a.jpg,chiari,1,16374,16374,0.975267
chiari_55a.jpeg,data/vf/val_externo/cropped/chiari/chiari_55a.jpeg,chiari,1,48586,48586,0.182719
