archivo,ruta,clase,label,numero_base,clave_agrupacion,rID,split,sha256,carpeta_origen
chiari_1a.jpeg,data/vf/val_externo/cropped/chiari/chiari_1a.jpeg,chiari,1,1,56514,56514,desarrollo,ffb59e529b8fc2130278345f09da4d813eec67756ffb6024e617a93bbb8e3545,externo
chiari_1b.jpeg,data/vf/cropped/chiari/chiari_1b.jpeg,chiari,1,1,56514,56514,desarrollo,652bf378e4060edbadf9a2d982375c1b4786eadf7e5619c6a30a2092c3769b32,entrenamiento
chiari_2a.jpeg,data/vf/val_externo/cropped/chiari/chiari_2a.jpeg,chiari,1,2,57986,57986,test,17ea4999441eb613f11a2a6817c4b6bf19d1e6bb200817c85bec8bfba8fa62f0,externo
chiari_2b.png,data/vf/cropped/chiari/chiari_2b.png,chiari,1,2,57986,57986,test,e3b37c262c827ebdcb17fd8d16eee4ba9e7d5b44774c49de22413a2baac3cc37,entrenamiento
chiari_2c.png,data/vf/val_externo/cropped/chiari/chiari_2c.png,chiari,1,2,57986,57986,test,5f000ede529cba9e59a1e2d91ad8b528c19ed25e68acfe77ed566aed74429e46,externo
chiari_3a.jpg,data/vf/val_externo/cropped/chiari/chiari_3a.jpg,chiari,1,3,71310,71310,desarrollo,f33807e801dfa625a94832c0434c9cd31462d8d83d826b514b20162f76597b57,externo
chiari_3b.jpg,data/vf/val_externo/cropped/chiari/chiari_3b.jpg,chiari,1,3,71310,71310,desarrollo,0026cf1f3f5d37212c1a98d9aca17ed41047c5e679adb5dfb15323bf8dc4d9fa,externo
chiari_3c.jpg,data/vf/val_externo/cropped/chiari/chiari_3c.jpg,chiari,1,3,71310,71310,desarrollo,f4731d50322a144d1921770acc19864b0f8bf3f41225dfa752c6712efd27c2a4,externo
chiari_4a.jpeg,data/vf/cropped/chiari/chiari_4a.jpeg,chiari,1,4,75171,75171,desarrollo,4f5a91aee8441a732447041279da7a4523fbe0c67816e97dc044aa282abaec9a,entrenamiento
chiari_4b.jpg,data/vf/val_externo/cropped/chiari/chiari_4b.jpg,chiari,1,4,75171,75171,desarrollo,adc9fc9b5112615430ccdf5855d37ac6563785cea8b4134b4f20df22dda8b303,externo
